mean_reward,std_reward,non_timeout_share,goal_share,steps_per_successful_epsiode,variable_tiles_per_episode,name,num_episodes
0.013950776000000002,0.11707732880699755,0.046,0.014,1.0,0.003,"DQN, pretrained, double channel, annotated",1000
0.00498242,0.07028568347980689,0.006,0.005,1.0,0.0,"DQN, pretrained, double channel, annotated",1000
0.012954292000000001,0.11287573268026543,0.044,0.013,1.0,0.024,"DQN, pretrained, double channel, annotated",1000
0.00996484,0.0991489061277753,0.037,0.01,1.0,0.015,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.005,0.0,0.0,0.0,"DQN, pretrained, double channel, annotated",1000
0.010961324000000001,0.10393571744584738,0.03,0.011,1.0,0.01,"DQN, pretrained, double channel, annotated",1000
0.00498242,0.07028568347980689,0.037,0.005,1.0,0.003,"DQN, pretrained, double channel, annotated",1000
0.032883972,0.1780084164862752,0.131,0.033,1.0,0.041,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.003,0.0,0.0,0.0,"DQN, pretrained, double channel, annotated",1000
0.001992968,0.04451953282619863,0.071,0.002,1.0,0.013,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, pretrained, double channel, annotated",1000
0.000996484,0.03149583118277313,0.002,0.001,1.0,0.005,"DQN, pretrained, double channel, annotated",1000
0.012954292000000001,0.11287573268026543,0.034,0.013,1.0,0.002,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.205,0.0,0.0,0.25,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.019,0.0,0.0,0.012,"DQN, pretrained, double channel, annotated",1000
0.013950776000000002,0.11707732880699753,0.024,0.014,1.0,0.0,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, pretrained, double channel, annotated",1000
0.001992968,0.044519532826198624,0.003,0.002,1.0,0.0,"DQN, pretrained, double channel, annotated",1000
0.001992968,0.044519532826198624,0.02,0.002,1.0,0.008,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.008,0.0,0.0,0.002,"DQN, pretrained, double channel, annotated",1000
0.036722257999999994,0.18734772010168002,0.112,0.037,2.135135135135135,0.013,"DQN, pretrained, double channel, annotated",1000
0.000996484,0.03149583118277313,0.006,0.001,1.0,0.002,"DQN, pretrained, double channel, annotated",1000
0.028898036000000002,0.16721642868081685,0.041,0.029,1.0,0.002,"DQN, pretrained, double channel, annotated",1000
0.01992968,0.13950776,0.035,0.02,1.0,0.015,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.012,0.0,0.0,0.0,"DQN, pretrained, double channel, annotated",1000
0.002989452,0.05449774549013653,0.006,0.003,1.0,0.0,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.049,0.0,0.0,0.045,"DQN, pretrained, double channel, annotated",1000
0.00498242,0.07028568347980689,0.033,0.005,1.0,0.001,"DQN, pretrained, double channel, annotated",1000
0.003985936,0.06289700917553953,0.02,0.004,1.0,0.0,"DQN, pretrained, double channel, annotated",1000
0.001992968,0.044519532826198624,0.004,0.002,1.0,0.0,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.002,0.0,0.0,0.0,"DQN, pretrained, double channel, annotated",1000
0.000996484,0.03149583118277313,0.042,0.001,1.0,0.022,"DQN, pretrained, double channel, annotated",1000
0.023915616,0.15251089143233196,0.076,0.024,1.0,0.02,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.005,0.0,0.0,0.0,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.139,0.0,0.0,0.014,"DQN, pretrained, double channel, annotated",1000
0.01992968,0.13950776,0.064,0.02,1.0,0.002,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.015,0.0,0.0,0.002,"DQN, pretrained, double channel, annotated",1000
0.109741409,0.31057601885483316,0.223,0.111,3.225225225225225,0.006,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.002,0.0,0.0,0.003,"DQN, pretrained, double channel, annotated",1000
0.006975388000000001,0.08307951912500129,0.053,0.007,1.0,0.03,"DQN, pretrained, double channel, annotated",1000
0.005978904,0.07695540839015011,0.012,0.006,1.0,0.001,"DQN, pretrained, double channel, annotated",1000
0.01992968,0.13950776,0.049,0.02,1.0,0.001,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.012,0.0,0.0,0.001,"DQN, pretrained, double channel, annotated",1000
0.031887488000000005,0.17538118400000002,0.064,0.032,1.0,0.018,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.008,0.0,0.0,0.001,"DQN, pretrained, double channel, annotated",1000
0.002989452,0.05449774549013653,0.025,0.003,1.0,0.007,"DQN, pretrained, double channel, annotated",1000
0.000996484,0.03149583118277313,0.064,0.001,1.0,0.018,"DQN, pretrained, double channel, annotated",1000
0.0,0.0,0.015,0.0,0.0,0.003,"DQN, pretrained, double channel, annotated",1000
0.003985936,0.06289700917553953,0.007,0.004,1.0,0.002,"DQN, pretrained, double channel, annotated",1000
