mean_reward,std_reward,non_timeout_share,goal_share,steps_per_successful_epsiode,variable_tiles_per_episode,name,num_episodes
0.0,0.0,0.001,0.0,0.0,0.0,"DQN, pretrained, double channel, raw",1000
0.005978904,0.07695540839015011,0.007,0.006,1.0,0.005,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.008,0.0,0.0,0.011,"DQN, pretrained, double channel, raw",1000
0.002989452,0.05449774549013653,0.015,0.003,1.0,0.03,"DQN, pretrained, double channel, raw",1000
0.000996484,0.03149583118277313,0.032,0.001,1.0,0.048,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, pretrained, double channel, raw",1000
0.002989452,0.05449774549013653,0.018,0.003,1.0,0.006,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.018,0.0,0.0,0.009,"DQN, pretrained, double channel, raw",1000
0.000996484,0.03149583118277313,0.098,0.001,1.0,0.061,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.068,0.0,0.0,0.072,"DQN, pretrained, double channel, raw",1000
0.005978904,0.07695540839015011,0.04,0.006,1.0,0.03,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.01,0.0,0.0,0.013,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.001,0.0,0.0,0.002,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.027,0.0,0.0,0.024,"DQN, pretrained, double channel, raw",1000
0.03985936,0.19527018694780418,0.122,0.04,1.0,0.066,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.014,0.0,0.0,0.008,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.059,0.0,0.0,0.048,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.005,0.0,0.0,0.002,"DQN, pretrained, double channel, raw",1000
0.008968356,0.09410840478385162,0.036,0.009,1.0,0.015,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.007,0.0,0.0,0.005,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.045,0.0,0.0,0.037,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.122,0.0,0.0,0.127,"DQN, pretrained, double channel, raw",1000
0.006975388000000001,0.08307951912500129,0.03,0.007,1.0,0.025,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.008,0.0,0.0,0.009,"DQN, pretrained, double channel, raw",1000
0.015943744000000003,0.12503392668935284,0.033,0.016,1.0,0.014,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.003,0.0,0.0,0.0,"DQN, pretrained, double channel, raw",1000
0.021922648000000003,0.1461675937898004,0.092,0.022,1.0,0.055,"DQN, pretrained, double channel, raw",1000
0.026905068,0.16151342698620252,0.054,0.027,1.0,0.032,"DQN, pretrained, double channel, raw",1000
0.002989452,0.05449774549013653,0.027,0.003,1.0,0.015,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.004,0.0,0.0,0.002,"DQN, pretrained, double channel, raw",1000
0.005978904,0.07695540839015011,0.094,0.006,1.0,0.082,"DQN, pretrained, double channel, raw",1000
0.003985936,0.06289700917553953,0.046,0.004,1.0,0.031,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.044,0.0,0.0,0.039,"DQN, pretrained, double channel, raw",1000
0.003985936,0.06289700917553953,0.011,0.004,1.0,0.001,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.001,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.007,0.0,0.0,0.006,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.017,0.0,0.0,0.006,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.012,0.0,0.0,0.005,"DQN, pretrained, double channel, raw",1000
0.000996484,0.03149583118277313,0.059,0.001,1.0,0.055,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.009,0.0,0.0,0.001,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.015,0.0,0.0,0.006,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.012,0.0,0.0,0.006,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.161,0.0,0.0,0.204,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.06,0.0,0.0,0.03,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.001,0.0,0.0,0.0,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.051,0.0,0.0,0.058,"DQN, pretrained, double channel, raw",1000
0.000996484,0.03149583118277313,0.001,0.001,1.0,0.0,"DQN, pretrained, double channel, raw",1000
0.00996484,0.0991489061277753,0.063,0.01,1.0,0.066,"DQN, pretrained, double channel, raw",1000
0.0,0.0,0.021,0.0,0.0,0.019,"DQN, pretrained, double channel, raw",1000
