mean_reward,std_reward,non_timeout_share,goal_share,steps_per_successful_epsiode,variable_tiles_per_episode,name,num_episodes
0.00498242,0.07028568347980689,0.046,0.005,1.0,0.015,"DQN, trained on FOV, double channel, annotated",1000
0.03985936,0.19527018694780418,0.127,0.04,1.0,0.048,"DQN, trained on FOV, double channel, annotated",1000
0.017936712,0.13248366270313128,0.095,0.018,1.0,0.053,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.01,0.0,0.0,0.01,"DQN, trained on FOV, double channel, annotated",1000
0.001992968,0.04451953282619863,0.006,0.002,1.0,0.001,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.004,0.0,0.0,0.001,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.032,0.0,0.0,0.018,"DQN, trained on FOV, double channel, annotated",1000
0.023915616,0.15251089143233196,0.046,0.024,1.0,0.01,"DQN, trained on FOV, double channel, annotated",1000
0.000996484,0.03149583118277313,0.007,0.001,1.0,0.003,"DQN, trained on FOV, double channel, annotated",1000
0.000996484,0.03149583118277313,0.019,0.001,1.0,0.013,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on FOV, double channel, annotated",1000
0.006975388000000001,0.08307951912500129,0.031,0.007,1.0,0.009,"DQN, trained on FOV, double channel, annotated",1000
0.008968356,0.09410840478385163,0.035,0.009,1.0,0.005,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.019,0.0,0.0,0.003,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.032,0.0,0.0,0.025,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.045,0.0,0.0,0.024,"DQN, trained on FOV, double channel, annotated",1000
0.002989452,0.05449774549013653,0.004,0.003,1.0,0.0,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.039,0.0,0.0,0.031,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.011,0.0,0.0,0.005,"DQN, trained on FOV, double channel, annotated",1000
0.016940228,0.12881651615247178,0.063,0.017,1.0,0.032,"DQN, trained on FOV, double channel, annotated",1000
0.008486719,0.09006017293050263,0.034,0.009,16.22222222222222,0.001,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.047,0.0,0.0,0.027,"DQN, trained on FOV, double channel, annotated",1000
0.006975388000000001,0.08307951912500129,0.04,0.007,1.0,0.021,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.037,0.0,0.0,0.012,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.059,0.0,0.0,0.03,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.019,0.0,0.0,0.014,"DQN, trained on FOV, double channel, annotated",1000
0.01992968,0.13950776,0.053,0.02,1.0,0.009,"DQN, trained on FOV, double channel, annotated",1000
0.002989452,0.05449774549013653,0.04,0.003,1.0,0.011,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.004,0.0,0.0,0.006,"DQN, trained on FOV, double channel, annotated",1000
0.001992968,0.04451953282619863,0.025,0.002,1.0,0.008,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.003,0.0,0.0,0.0,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.012,0.0,0.0,0.006,"DQN, trained on FOV, double channel, annotated",1000
0.003985936,0.06289700917553953,0.034,0.004,1.0,0.002,"DQN, trained on FOV, double channel, annotated",1000
0.002989452,0.05449774549013653,0.017,0.003,1.0,0.005,"DQN, trained on FOV, double channel, annotated",1000
0.005978904,0.07695540839015011,0.054,0.006,1.0,0.034,"DQN, trained on FOV, double channel, annotated",1000
0.002989452,0.05449774549013653,0.055,0.003,1.0,0.034,"DQN, trained on FOV, double channel, annotated",1000
0.007971872,0.088771009653285,0.064,0.008,1.0,0.017,"DQN, trained on FOV, double channel, annotated",1000
0.016940228,0.12881651615247178,0.071,0.017,1.0,0.021,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on FOV, double channel, annotated",1000
0.01494726,0.1211250793697672,0.024,0.015,1.0,0.005,"DQN, trained on FOV, double channel, annotated",1000
0.007971872,0.08877100965328501,0.021,0.008,1.0,0.004,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.006,0.0,0.0,0.002,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.03,0.0,0.0,0.006,"DQN, trained on FOV, double channel, annotated",1000
0.020926164,0.14287996104290168,0.061,0.021,1.0,0.025,"DQN, trained on FOV, double channel, annotated",1000
0.000996484,0.03149583118277313,0.022,0.001,1.0,0.03,"DQN, trained on FOV, double channel, annotated",1000
0.001992968,0.04451953282619863,0.036,0.002,1.0,0.006,"DQN, trained on FOV, double channel, annotated",1000
0.0,0.0,0.035,0.0,0.0,0.016,"DQN, trained on FOV, double channel, annotated",1000
