mean_reward,std_reward,non_timeout_share,goal_share,steps_per_successful_epsiode,variable_tiles_per_episode,name,num_episodes
0.001992968,0.044519532826198624,0.052,0.002,1.0,0.047,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.046,0.0,0.0,0.058,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.06,0.0,0.0,0.057,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.15,0.0,0.0,0.446,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on FOV, single channel, raw",1000
0.052606245,0.22237154087123417,0.489,0.053,2.1132075471698113,0.765,"DQN, trained on FOV, single channel, raw",1000
0.049620308,0.21629324281721132,0.483,0.05,2.16,0.781,"DQN, trained on FOV, single channel, raw",1000
0.001992968,0.044519532826198624,0.01,0.002,1.0,0.012,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.027,0.0,0.0,0.018,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.021,0.0,0.0,0.018,"DQN, trained on FOV, single channel, raw",1000
0.021922648000000003,0.1461675937898004,0.189,0.022,1.0,0.343,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.108,0.0,0.0,0.216,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.027,0.0,0.0,0.018,"DQN, trained on FOV, single channel, raw",1000
0.18306954199999997,0.38221008988423405,0.318,0.187,5.978609625668449,0.145,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.017,0.0,0.0,0.011,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.057,0.0,0.0,0.264,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.014,0.0,0.0,0.009,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.017,0.0,0.0,0.01,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.018,0.0,0.0,0.037,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.041,0.0,0.0,0.05,"DQN, trained on FOV, single channel, raw",1000
0.042694138,0.2014157197929421,0.468,0.043,2.0232558139534884,0.788,"DQN, trained on FOV, single channel, raw",1000
0.030891004000000003,0.17270824271530294,0.191,0.031,1.0,0.516,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.097,0.0,0.0,0.157,"DQN, trained on FOV, single channel, raw",1000
0.307168406,0.452296775321953,0.384,0.318,9.68867924528302,0.056,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.003,0.0,0.0,0.006,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.001,0.0,0.0,0.002,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.107,0.0,0.0,0.206,"DQN, trained on FOV, single channel, raw",1000
0.003985936,0.06289700917553953,0.023,0.004,1.0,0.024,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.031,0.0,0.0,0.048,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.092,0.0,0.0,0.124,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.028,0.0,0.0,0.017,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.06,0.0,0.0,0.176,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.015,0.0,0.0,0.011,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.033,0.0,0.0,0.026,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.102,0.0,0.0,0.181,"DQN, trained on FOV, single channel, raw",1000
0.021800783000000004,0.1396487389148642,0.028,0.025,36.4,0.003,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.005,0.0,0.0,0.001,"DQN, trained on FOV, single channel, raw",1000
0.001992968,0.044519532826198624,0.066,0.002,1.0,0.065,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.062,0.0,0.0,0.078,"DQN, trained on FOV, single channel, raw",1000
0.016940228,0.12881651615247175,0.057,0.017,1.0,0.092,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.047,0.0,0.0,0.07,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.064,0.0,0.0,0.084,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.007,0.0,0.0,0.013,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.068,0.0,0.0,0.043,"DQN, trained on FOV, single channel, raw",1000
0.000996484,0.03149583118277313,0.119,0.001,1.0,0.104,"DQN, trained on FOV, single channel, raw",1000
0.002989452,0.05449774549013653,0.122,0.003,1.0,0.379,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.004,0.0,0.0,0.003,"DQN, trained on FOV, single channel, raw",1000
0.0,0.0,0.017,0.0,0.0,0.011,"DQN, trained on FOV, single channel, raw",1000
