mean_reward,std_reward,non_timeout_share,goal_share,steps_per_successful_epsiode,variable_tiles_per_episode,name,num_episodes
0.000996484,0.03149583118277313,0.05,0.001,1.0,0.018,"DQN, trained on next tile, double channel, annotated",1000
0.000996484,0.03149583118277313,0.002,0.001,1.0,0.0,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.004,0.0,0.0,0.0,"DQN, trained on next tile, double channel, annotated",1000
0.000996484,0.03149583118277313,0.005,0.001,1.0,0.001,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.033,0.0,0.0,0.012,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.001,0.0,0.0,0.002,"DQN, trained on next tile, double channel, annotated",1000
0.000996484,0.03149583118277313,0.016,0.001,1.0,0.009,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.01,0.0,0.0,0.002,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.039,0.0,0.0,0.009,"DQN, trained on next tile, double channel, annotated",1000
0.023402339999999997,0.14927322613264044,0.067,0.024,7.083333333333333,0.021,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.005,0.0,0.0,0.002,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.005,0.0,0.0,0.003,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.018,0.0,0.0,0.002,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.005,0.0,0.0,0.001,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.003,0.0,0.0,0.0,"DQN, trained on next tile, double channel, annotated",1000
0.042535938,0.20067167348605572,0.089,0.043,3.0697674418604652,0.014,"DQN, trained on next tile, double channel, annotated",1000
0.006975388000000001,0.08307951912500129,0.013,0.007,1.0,0.004,"DQN, trained on next tile, double channel, annotated",1000
0.000996484,0.03149583118277313,0.012,0.001,1.0,0.006,"DQN, trained on next tile, double channel, annotated",1000
0.005978904,0.07695540839015011,0.044,0.006,1.0,0.014,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.005,0.0,0.0,0.0,"DQN, trained on next tile, double channel, annotated",1000
0.001992968,0.044519532826198624,0.024,0.002,1.0,0.003,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.021,0.0,0.0,0.008,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.017,0.0,0.0,0.003,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.022,0.0,0.0,0.008,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.007,0.0,0.0,0.0,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.01,0.0,0.0,0.003,"DQN, trained on next tile, double channel, annotated",1000
0.000996484,0.03149583118277313,0.001,0.001,1.0,0.0,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.005,0.0,0.0,0.0,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.004,0.0,0.0,0.001,"DQN, trained on next tile, double channel, annotated",1000
0.000996484,0.03149583118277313,0.033,0.001,1.0,0.014,"DQN, trained on next tile, double channel, annotated",1000
0.000996484,0.03149583118277313,0.036,0.001,1.0,0.022,"DQN, trained on next tile, double channel, annotated",1000
0.002989452,0.05449774549013653,0.042,0.003,1.0,0.005,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.002,0.0,0.0,0.0,"DQN, trained on next tile, double channel, annotated",1000
0.000996484,0.03149583118277313,0.033,0.001,1.0,0.021,"DQN, trained on next tile, double channel, annotated",1000
0.000989453,0.0312736026381642,0.048,0.001,3.0,0.007,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.005,0.0,0.0,0.006,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.046,0.0,0.0,0.019,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.001,0.0,0.0,0.0,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.038,0.0,0.0,0.013,"DQN, trained on next tile, double channel, annotated",1000
0.001992968,0.044519532826198624,0.028,0.002,1.0,0.004,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.038,0.0,0.0,0.008,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.032,0.0,0.0,0.023,"DQN, trained on next tile, double channel, annotated",1000
0.006975388000000001,0.08307951912500128,0.086,0.007,1.0,0.037,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.01,0.0,0.0,0.004,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.017,0.0,0.0,0.004,"DQN, trained on next tile, double channel, annotated",1000
0.0,0.0,0.002,0.0,0.0,0.0,"DQN, trained on next tile, double channel, annotated",1000
0.000996484,0.03149583118277313,0.003,0.001,1.0,0.0,"DQN, trained on next tile, double channel, annotated",1000
0.002989452,0.05449774549013653,0.006,0.003,1.0,0.001,"DQN, trained on next tile, double channel, annotated",1000
0.000996484,0.03149583118277313,0.026,0.001,1.0,0.007,"DQN, trained on next tile, double channel, annotated",1000
