mean_reward,std_reward,non_timeout_share,goal_share,steps_per_successful_epsiode,variable_tiles_per_episode,name,num_episodes
0.00498242,0.0702856834798069,0.032,0.005,1.0,0.016,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.014,0.0,0.0,0.007,"DQN, trained on next tile, double channel, raw",1000
0.226791822,0.41402387815768826,0.3,0.231,5.181818181818182,0.061,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.064,0.0,0.0,0.061,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.018,0.0,0.0,0.011,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.004,0.0,0.0,0.006,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.074,0.0,0.0,0.044,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.014,0.0,0.0,0.018,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.102,0.0,0.0,0.098,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.032,0.0,0.0,0.028,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.008,0.0,0.0,0.008,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.031,0.0,0.0,0.03,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.001,0.0,0.0,0.004,"DQN, trained on next tile, double channel, raw",1000
0.008968356,0.09410840478385162,0.438,0.009,1.0,0.378,"DQN, trained on next tile, double channel, raw",1000
0.034732820000000005,0.18237707356013141,0.038,0.035,2.1714285714285713,0.002,"DQN, trained on next tile, double channel, raw",1000
0.00498242,0.07028568347980689,0.018,0.005,1.0,0.003,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.038,0.0,0.0,0.03,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.003,0.0,0.0,0.003,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.001,0.0,0.0,0.0,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.001,0.0,0.0,0.001,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.003,0.0,0.0,0.0,"DQN, trained on next tile, double channel, raw",1000
0.002989452,0.05449774549013653,0.011,0.003,1.0,0.01,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.012,0.0,0.0,0.002,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.004,0.0,0.0,0.005,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.039,0.0,0.0,0.037,"DQN, trained on next tile, double channel, raw",1000
0.000996484,0.03149583118277313,0.02,0.001,1.0,0.006,"DQN, trained on next tile, double channel, raw",1000
0.000996484,0.03149583118277313,0.006,0.001,1.0,0.011,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.015,0.0,0.0,0.007,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.001,0.0,0.0,0.0,"DQN, trained on next tile, double channel, raw",1000
0.003985936,0.06289700917553953,0.022,0.004,1.0,0.022,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.001,0.0,0.0,0.002,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on next tile, double channel, raw",1000
0.001992968,0.04451953282619862,0.018,0.002,1.0,0.023,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.028,0.0,0.0,0.022,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.009,0.0,0.0,0.004,"DQN, trained on next tile, double channel, raw",1000
0.012954292000000001,0.11287573268026543,0.028,0.013,1.0,0.01,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.008,0.0,0.0,0.007,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.01,0.0,0.0,0.016,"DQN, trained on next tile, double channel, raw",1000
0.001992968,0.04451953282619862,0.032,0.002,1.0,0.036,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.006,0.0,0.0,0.022,"DQN, trained on next tile, double channel, raw",1000
0.000996484,0.03149583118277313,0.01,0.001,1.0,0.008,"DQN, trained on next tile, double channel, raw",1000
0.000996484,0.03149583118277313,0.01,0.001,1.0,0.007,"DQN, trained on next tile, double channel, raw",1000
0.001992968,0.044519532826198624,0.007,0.002,1.0,0.001,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.001,"DQN, trained on next tile, double channel, raw",1000
0.0,0.0,0.003,0.0,0.0,0.001,"DQN, trained on next tile, double channel, raw",1000
