mean_reward,std_reward,non_timeout_share,goal_share,steps_per_successful_epsiode,variable_tiles_per_episode,name,num_episodes
0.003985936,0.06289700917553953,0.019,0.004,1.0,0.008,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.017,0.0,0.0,0.008,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on next tile, single channel, raw",1000
0.013950776000000002,0.11707732880699755,0.034,0.014,1.0,0.005,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.008,0.0,0.0,0.008,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.055,0.0,0.0,0.036,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.036,0.0,0.0,0.023,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.001,0.0,0.0,0.0,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.019,0.0,0.0,0.008,"DQN, trained on next tile, single channel, raw",1000
0.3109508040000001,0.45477234010147716,0.423,0.32,8.04375,0.074,"DQN, trained on next tile, single channel, raw",1000
0.002989452,0.05449774549013653,0.046,0.003,1.0,0.038,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.061,0.0,0.0,0.061,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.062,0.0,0.0,0.075,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.025,0.0,0.0,0.017,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.034,0.0,0.0,0.025,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.019,0.0,0.0,0.019,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.025,0.0,0.0,0.033,"DQN, trained on next tile, single channel, raw",1000
0.000996484,0.03149583118277313,0.052,0.001,1.0,0.033,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.043,0.0,0.0,0.047,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.076,0.0,0.0,0.079,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.006,0.0,0.0,0.003,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.004,0.0,0.0,0.003,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.043,0.0,0.0,0.043,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.033,0.0,0.0,0.044,"DQN, trained on next tile, single channel, raw",1000
0.19676057300000002,0.39475689701474337,0.211,0.199,3.201005025125628,0.008,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.03,0.0,0.0,0.023,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.045,0.0,0.0,0.04,"DQN, trained on next tile, single channel, raw",1000
0.000996484,0.03149583118277313,0.07,0.001,1.0,0.103,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.073,0.0,0.0,0.035,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.02,0.0,0.0,0.029,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.011,0.0,0.0,0.009,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.05,0.0,0.0,0.058,"DQN, trained on next tile, single channel, raw",1000
0.08245155200000001,0.2740622389366753,0.542,0.083,1.8795180722891567,0.662,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.056,0.0,0.0,0.037,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.031,0.0,0.0,0.027,"DQN, trained on next tile, single channel, raw",1000
0.031887488,0.17538118400000002,0.063,0.032,1.0,0.021,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.032,0.0,0.0,0.023,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.0,0.0,0.0,0.0,"DQN, trained on next tile, single channel, raw",1000
0.028898036000000005,0.16721642868081685,0.137,0.029,1.0,0.057,"DQN, trained on next tile, single channel, raw",1000
0.07543397399999999,0.2630285233105439,0.489,0.076,2.1184210526315788,0.76,"DQN, trained on next tile, single channel, raw",1000
0.001992968,0.04451953282619862,0.019,0.002,1.0,0.033,"DQN, trained on next tile, single channel, raw",1000
0.034521884,0.18127066021042276,0.084,0.035,3.8857142857142857,0.03,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.033,0.0,0.0,0.025,"DQN, trained on next tile, single channel, raw",1000
0.002989452,0.05449774549013653,0.085,0.003,1.0,0.061,"DQN, trained on next tile, single channel, raw",1000
0.0,0.0,0.028,0.0,0.0,0.03,"DQN, trained on next tile, single channel, raw",1000
0.001992968,0.044519532826198624,0.04,0.002,1.0,0.02,"DQN, trained on next tile, single channel, raw",1000
0.000996484,0.03149583118277313,0.026,0.001,1.0,0.021,"DQN, trained on next tile, single channel, raw",1000
