mean_reward,std_reward,non_timeout_share,goal_share,steps_per_successful_epsiode,variable_tiles_per_episode,name,num_episodes
0.053509375,0.2218365082758255,0.059,0.055,7.709090909090909,0.009,"Control, DQN, full information",1000
0.007859374,0.08752746396442733,0.008,0.008,5.0,0.001,"Control, DQN, full information",1000
0.0,0.0,0.029,0.0,0.0,0.082,"Control, DQN, full information",1000
0.114588272,0.31484590386941674,0.169,0.117,5.863247863247863,0.041,"Control, DQN, full information",1000
0.0,0.0,0.0,0.0,0.0,0.001,"Control, DQN, full information",1000
0.0,0.0,0.026,0.0,0.0,0.052,"Control, DQN, full information",1000
0.033346091,0.17776109507001447,0.053,0.034,5.470588235294118,0.022,"Control, DQN, full information",1000
0.0,0.0,0.008,0.0,0.0,0.036,"Control, DQN, full information",1000
0.0,0.0,0.008,0.0,0.0,0.059,"Control, DQN, full information",1000
0.0,0.0,0.006,0.0,0.0,0.031,"Control, DQN, full information",1000
0.009813673,0.09766152680210397,0.011,0.01,5.3,0.018,"Control, DQN, full information",1000
0.25136247700000003,0.42636684003536146,0.277,0.258,7.317829457364341,0.105,"Control, DQN, full information",1000
0.0,0.0,0.002,0.0,0.0,0.018,"Control, DQN, full information",1000
0.001940235,0.043342208473516615,0.016,0.002,8.5,0.044,"Control, DQN, full information",1000
0.012630859000000001,0.1100610697504123,0.03,0.013,8.076923076923077,0.1,"Control, DQN, full information",1000
0.0,0.0,0.014,0.0,0.0,0.04,"Control, DQN, full information",1000
0.000961328,0.03038465685276725,0.025,0.001,11.0,0.038,"Control, DQN, full information",1000
0.0,0.0,0.005,0.0,0.0,0.007,"Control, DQN, full information",1000
0.0,0.0,0.028,0.0,0.0,0.04,"Control, DQN, full information",1000
0.120840993,0.31982492998855633,0.139,0.125,9.464,0.04,"Control, DQN, full information",1000
0.0,0.0,0.007,0.0,0.0,0.013,"Control, DQN, full information",1000
0.001905079,0.042568510124606905,0.038,0.002,13.5,0.092,"Control, DQN, full information",1000
0.007757422,0.08639657781624177,0.013,0.008,8.625,0.047,"Control, DQN, full information",1000
0.0,0.0,0.02,0.0,0.0,0.153,"Control, DQN, full information",1000
0.0,0.0,0.005,0.0,0.0,0.012,"Control, DQN, full information",1000
0.0,0.0,0.008,0.0,0.0,0.042,"Control, DQN, full information",1000
0.0,0.0,0.026,0.0,0.0,0.088,"Control, DQN, full information",1000
0.171243343,0.3706215640791525,0.267,0.176,7.6875,0.083,"Control, DQN, full information",1000
0.32570816,0.45901456687585024,0.359,0.335,7.88955223880597,0.101,"Control, DQN, full information",1000
0.0,0.0,0.0,0.0,0.0,0.007,"Control, DQN, full information",1000
0.039467187,0.1909138017679341,0.07,0.041,10.634146341463415,0.061,"Control, DQN, full information",1000
0.038913672,0.19067487948414813,0.078,0.04,7.725,0.217,"Control, DQN, full information",1000
0.063836312,0.24214718497918297,0.077,0.065,5.092307692307692,0.016,"Control, DQN, full information",1000
0.0,0.0,0.007,0.0,0.0,0.032,"Control, DQN, full information",1000
0.0,0.0,0.009,0.0,0.0,0.024,"Control, DQN, full information",1000
0.0,0.0,0.037,0.0,0.0,0.163,"Control, DQN, full information",1000
0.002954297,0.05385924079515781,0.009,0.003,4.333333333333333,0.041,"Control, DQN, full information",1000
0.002989452,0.05449774549013653,0.01,0.003,1.0,0.013,"Control, DQN, full information",1000
0.108161327,0.30770923632987374,0.122,0.11,4.754545454545455,0.001,"Control, DQN, full information",1000
0.033152733999999996,0.17675944205508018,0.062,0.034,7.088235294117647,0.037,"Control, DQN, full information",1000
0.0,0.0,0.037,0.0,0.0,0.177,"Control, DQN, full information",1000
0.0,0.0,0.0,0.0,0.0,0.003,"Control, DQN, full information",1000
0.17629452499999998,0.3763454899845398,0.196,0.18,5.855555555555555,0.034,"Control, DQN, full information",1000
0.03514219,0.18187054233577216,0.036,0.036,6.777777777777778,0.021,"Control, DQN, full information",1000
0.010746873999999998,0.10190779587292685,0.012,0.011,6.545454545454546,0.005,"Control, DQN, full information",1000
0.0,0.0,0.024,0.0,0.0,0.079,"Control, DQN, full information",1000
0.001964844,0.043892416544839094,0.002,0.002,5.0,0.0,"Control, DQN, full information",1000
0.025697656000000003,0.15729499522485663,0.037,0.026,3.3076923076923075,0.025,"Control, DQN, full information",1000
0.0,0.0,0.026,0.0,0.0,0.06,"Control, DQN, full information",1000
0.0,0.0,0.028,0.0,0.0,0.055,"Control, DQN, full information",1000
