mean_reward,std_reward,non_timeout_share,goal_share,steps_per_successful_epsiode,variable_tiles_per_episode,name,num_episodes
0.19397501499999997,0.392875566497947,0.232,0.196,2.938775510204082,0.0,"Control, DQN, only tile type",1000
0.0,0.0,0.005,0.0,0.0,0.0,"Control, DQN, only tile type",1000
0.210830875,0.4052673423690162,0.264,0.213,2.896713615023474,0.0,"Control, DQN, only tile type",1000
0.008926173,0.09366615819439311,0.021,0.009,2.3333333333333335,0.0,"Control, DQN, only tile type",1000
0.154555084,0.3594999780414026,0.201,0.156,2.6346153846153846,0.0,"Control, DQN, only tile type",1000
0.0,0.0,0.0,0.0,0.0,0.0,"Control, DQN, only tile type",1000
0.003978906,0.06278617603801942,0.013,0.004,1.5,0.0,"Control, DQN, only tile type",1000
0.110368755,0.3107911302582507,0.139,0.112,4.142857142857143,0.002,"Control, DQN, only tile type",1000
0.04458164500000001,0.20537873885715865,0.053,0.045,2.6444444444444444,0.0,"Control, DQN, only tile type",1000
0.0,0.0,0.001,0.0,0.0,0.0,"Control, DQN, only tile type",1000
0.050444538,0.2176042685454368,0.088,0.051,3.0980392156862746,0.0,"Control, DQN, only tile type",1000
0.003982421,0.06284161713950205,0.012,0.004,1.25,0.0,"Control, DQN, only tile type",1000
0.22170039600000005,0.4103633794802981,0.267,0.226,5.411504424778761,0.002,"Control, DQN, only tile type",1000
0.078328517,0.26744865696344355,0.095,0.079,2.4177215189873418,0.001,"Control, DQN, only tile type",1000
0.002985937,0.05443374265751924,0.006,0.003,1.3333333333333333,0.0,"Control, DQN, only tile type",1000
0.000996484,0.03149583118277313,0.006,0.001,1.0,0.0,"Control, DQN, only tile type",1000
0.060500776,0.23737448539118902,0.096,0.061,2.3278688524590163,0.0,"Control, DQN, only tile type",1000
0.0,0.0,0.011,0.0,0.0,0.0,"Control, DQN, only tile type",1000
0.001975391,0.04412696238639273,0.012,0.002,3.5,0.0,"Control, DQN, only tile type",1000
0.034609769,0.18173387644876682,0.067,0.035,3.1714285714285713,0.0,"Control, DQN, only tile type",1000
0.118256256,0.32025940558598504,0.172,0.12,4.133333333333334,0.0,"Control, DQN, only tile type",1000
0.10458321200000001,0.3037327464525764,0.113,0.106,3.80188679245283,0.002,"Control, DQN, only tile type",1000
0.105850395,0.3057977549776927,0.167,0.107,3.05607476635514,0.0,"Control, DQN, only tile type",1000
0.0029859369999999997,0.05443374265751924,0.005,0.003,1.3333333333333333,0.0,"Control, DQN, only tile type",1000
0.001957813,0.04373536010742374,0.002,0.002,6.0,0.001,"Control, DQN, only tile type",1000
0.005915625000000001,0.07614223303247925,0.014,0.006,4.0,0.0,"Control, DQN, only tile type",1000
0.055504299,0.22788872692793213,0.059,0.056,2.517857142857143,0.0,"Control, DQN, only tile type",1000
0.037599221999999995,0.1891824064578964,0.081,0.038,3.0,0.0,"Control, DQN, only tile type",1000
0.247842988,0.428159709765461,0.328,0.251,3.5776892430278884,0.0,"Control, DQN, only tile type",1000
0.14648829,0.3514786120938085,0.205,0.148,2.9054054054054053,0.0,"Control, DQN, only tile type",1000
0.000985938,0.03116250416934037,0.018,0.001,4.0,0.0,"Control, DQN, only tile type",1000
0.1664672,0.37045867899764745,0.224,0.168,2.5952380952380953,0.0,"Control, DQN, only tile type",1000
0.173432036,0.37656778582629014,0.235,0.175,2.5485714285714285,0.0,"Control, DQN, only tile type",1000
0.016852344000000002,0.12814997779834245,0.017,0.017,2.4705882352941178,0.001,"Control, DQN, only tile type",1000
0.013883986000000001,0.11651719817853416,0.028,0.014,2.357142857142857,0.001,"Control, DQN, only tile type",1000
0.010908594,0.10343647896158863,0.017,0.011,2.3636363636363638,0.006,"Control, DQN, only tile type",1000
0.14941094800000002,0.35428797278835655,0.231,0.151,2.993377483443709,0.001,"Control, DQN, only tile type",1000
0.014859377,0.12041350133091751,0.035,0.015,2.6666666666666665,0.0,"Control, DQN, only tile type",1000
0.000982422,0.03105137409355528,0.027,0.001,5.0,0.0,"Control, DQN, only tile type",1000
0.0,0.0,0.0,0.0,0.0,0.0,"Control, DQN, only tile type",1000
0.29391837499999995,0.45114028387021743,0.409,0.298,3.8959731543624163,0.002,"Control, DQN, only tile type",1000
0.005947266,0.07654928051580398,0.014,0.006,2.5,0.0,"Control, DQN, only tile type",1000
0.18010860099999998,0.3818463619742498,0.235,0.182,2.956043956043956,0.001,"Control, DQN, only tile type",1000
0.0,0.0,0.01,0.0,0.0,0.0,"Control, DQN, only tile type",1000
0.006943751000000001,0.08270311604288558,0.011,0.007,2.2857142857142856,0.001,"Control, DQN, only tile type",1000
0.184305471,0.3855684456205087,0.249,0.186,2.5913978494623655,0.0,"Control, DQN, only tile type",1000
0.0,0.0,0.005,0.0,0.0,0.0,"Control, DQN, only tile type",1000
0.0,0.0,0.004,0.0,0.0,0.002,"Control, DQN, only tile type",1000
0.000996484,0.03149583118277313,0.023,0.001,1.0,0.0,"Control, DQN, only tile type",1000
0.036578127,0.1866135650449047,0.068,0.037,3.2432432432432434,0.002,"Control, DQN, only tile type",1000
