mean_reward,std_reward,non_timeout_share,goal_share,steps_per_successful_epsiode,variable_tiles_per_episode,name,num_episodes
0.14578164500000002,0.34979468892913596,0.255,0.148,4.263513513513513,0.015,"Control, PPO, only tile type",1000
0.11173086500000001,0.3130466830493924,0.163,0.113,3.1946902654867255,0.0,"Control, PPO, only tile type",1000
0.109758996,0.31062648643218754,0.155,0.111,3.18018018018018,0.003,"Control, PPO, only tile type",1000
0.09880821299999999,0.2964296380150029,0.136,0.1,3.39,0.0,"Control, PPO, only tile type",1000
0.177655083,0.3792004394754733,0.242,0.18,3.7055555555555557,0.002,"Control, PPO, only tile type",1000
0.11486445700000002,0.3170961425375562,0.184,0.116,2.7844827586206895,0.015,"Control, PPO, only tile type",1000
0.15402422999999998,0.3582745335165131,0.204,0.156,3.6025641025641026,0.0,"Control, PPO, only tile type",1000
0.142323063,0.3470070111081086,0.187,0.144,3.3125,0.0,"Control, PPO, only tile type",1000
0.162616419,0.3658378885307253,0.228,0.165,4.109090909090909,0.003,"Control, PPO, only tile type",1000
0.15412969399999998,0.3585159775058768,0.23,0.156,3.41025641025641,0.004,"Control, PPO, only tile type",1000
0.06641992,0.24785979051295834,0.084,0.067,2.462686567164179,0.0,"Control, PPO, only tile type",1000
0.08572735399999999,0.2777187901755923,0.117,0.087,4.160919540229885,0.0,"Control, PPO, only tile type",1000
0.220389464,0.4102298478131091,0.314,0.224,4.584821428571429,0.0,"Control, PPO, only tile type",1000
0.155024226,0.3592335155591233,0.221,0.157,3.5796178343949046,0.0,"Control, PPO, only tile type",1000
0.038655469,0.19188739226851004,0.054,0.039,2.5128205128205128,0.0,"Control, PPO, only tile type",1000
0.114811724,0.31695239633285915,0.177,0.116,2.913793103448276,0.002,"Control, PPO, only tile type",1000
0.13691877500000002,0.3407796492999932,0.204,0.139,4.258992805755396,0.001,"Control, PPO, only tile type",1000
0.183324614,0.38353145340281675,0.286,0.186,4.091397849462366,0.004,"Control, PPO, only tile type",1000
0.20185001600000002,0.397522683243321,0.296,0.205,4.3707317073170735,0.003,"Control, PPO, only tile type",1000
0.206180503,0.401119902585581,0.287,0.209,3.8373205741626792,0.001,"Control, PPO, only tile type",1000
0.190762114,0.38885430438957086,0.314,0.194,4.747422680412371,0.01,"Control, PPO, only tile type",1000
0.188728911,0.3884300522510264,0.263,0.191,3.3821989528795813,0.008,"Control, PPO, only tile type",1000
0.11257267100000001,0.3138377248495769,0.152,0.114,3.56140350877193,0.0,"Control, PPO, only tile type",1000
0.160231649,0.36443786885782575,0.236,0.162,3.1049382716049383,0.002,"Control, PPO, only tile type",1000
0.154567206,0.3581803664365979,0.234,0.157,4.407643312101911,0.004,"Control, PPO, only tile type",1000
0.05647617700000001,0.22971388377522084,0.079,0.057,2.6140350877192984,0.0,"Control, PPO, only tile type",1000
0.057426953999999995,0.2314390838662733,0.072,0.058,2.810344827586207,0.001,"Control, PPO, only tile type",1000
0.13536525500000002,0.33974820651571364,0.183,0.137,3.394160583941606,0.0,"Control, PPO, only tile type",1000
0.174676185,0.3766703578404475,0.273,0.177,3.7344632768361583,0.011,"Control, PPO, only tile type",1000
0.199219146,0.3959902768321625,0.271,0.202,3.9158415841584158,0.003,"Control, PPO, only tile type",1000
0.166746489,0.3697693340976911,0.276,0.169,3.7928994082840237,0.001,"Control, PPO, only tile type",1000
0.093941809,0.28995255403596726,0.126,0.095,3.168421052631579,0.0,"Control, PPO, only tile type",1000
0.06921954300000002,0.25230566263413146,0.1,0.07,3.1714285714285713,0.001,"Control, PPO, only tile type",1000
0.233136335,0.4183462324642052,0.351,0.237,4.637130801687764,0.008,"Control, PPO, only tile type",1000
0.14131251500000003,0.3459517281605654,0.178,0.143,3.3566433566433567,0.0,"Control, PPO, only tile type",1000
0.14806290000000003,0.3524725616504155,0.2,0.15,3.6733333333333333,0.002,"Control, PPO, only tile type",1000
0.12137226900000002,0.3241053391476985,0.168,0.123,3.7642276422764227,0.001,"Control, PPO, only tile type",1000
0.169651579,0.3722455976630802,0.242,0.172,3.883720930232558,0.001,"Control, PPO, only tile type",1000
0.229002739,0.4155414476625537,0.362,0.233,4.879828326180258,0.044,"Control, PPO, only tile type",1000
0.17337384100000003,0.37515300990354017,0.241,0.176,4.244318181818182,0.005,"Control, PPO, only tile type",1000
0.18250391600000002,0.3830755751860916,0.271,0.185,3.8378378378378377,0.002,"Control, PPO, only tile type",1000
0.09772735600000002,0.29482905602511644,0.135,0.099,3.6565656565656566,0.0,"Control, PPO, only tile type",1000
0.095040232,0.29165410728376207,0.13,0.096,2.84375,0.001,"Control, PPO, only tile type",1000
0.09175196400000002,0.2865406424272981,0.128,0.093,3.817204301075269,0.0,"Control, PPO, only tile type",1000
0.13044961800000002,0.33452693976503306,0.184,0.132,3.340909090909091,0.004,"Control, PPO, only tile type",1000
0.20761446700000002,0.40150219054482744,0.306,0.211,4.563981042654029,0.006,"Control, PPO, only tile type",1000
0.17948635000000002,0.3805311844855708,0.251,0.182,3.9285714285714284,0.004,"Control, PPO, only tile type",1000
0.293081652,0.449882138533613,0.414,0.298,4.694630872483222,0.004,"Control, PPO, only tile type",1000
0.13227032700000002,0.3362635816396448,0.186,0.134,3.671641791044776,0.027,"Control, PPO, only tile type",1000
0.10289258400000001,0.3020161351327391,0.249,0.104,3.0288461538461537,0.015,"Control, PPO, only tile type",1000
