mean_reward,std_reward,non_timeout_share,goal_share,steps_per_successful_epsiode,variable_tiles_per_episode,name,num_episodes
0.309373461,0.45729558370668805,0.399,0.314,4.191082802547771,0.108,"PPO, pretrained, double channel, raw",1000
0.406722704,0.4839243976208292,0.472,0.414,5.0,0.042,"PPO, pretrained, double channel, raw",1000
0.310564884,0.45697348563794876,0.454,0.316,4.8924050632911396,0.091,"PPO, pretrained, double channel, raw",1000
0.39665746,0.48081903063559617,0.555,0.405,5.859259259259259,0.151,"PPO, pretrained, double channel, raw",1000
0.34825903199999997,0.4704728590358778,0.454,0.354,4.612994350282486,0.105,"PPO, pretrained, double channel, raw",1000
0.31542424799999996,0.458783155097807,0.518,0.321,4.940809968847352,0.226,"PPO, pretrained, double channel, raw",1000
0.39659261700000004,0.48173354866577683,0.548,0.404,5.215346534653466,0.162,"PPO, pretrained, double channel, raw",1000
0.33931175399999997,0.46755110095790764,0.508,0.345,4.689855072463768,0.18,"PPO, pretrained, double channel, raw",1000
0.407639881,0.48304759332854036,0.653,0.416,5.716346153846154,0.322,"PPO, pretrained, double channel, raw",1000
0.24947386700000002,0.42867836402980186,0.335,0.253,3.964426877470356,0.077,"PPO, pretrained, double channel, raw",1000
0.43822855299999997,0.48747133826458267,0.612,0.447,5.58165548098434,0.163,"PPO, pretrained, double channel, raw",1000
0.199595343,0.39671702218028576,0.231,0.202,3.386138613861386,0.041,"PPO, pretrained, double channel, raw",1000
0.36210083800000004,0.4745460631170927,0.456,0.368,4.559782608695652,0.06,"PPO, pretrained, double channel, raw",1000
0.132488288,0.3368119139951095,0.141,0.134,3.208955223880597,0.009,"PPO, pretrained, double channel, raw",1000
0.4574059080000001,0.4887080087390604,0.637,0.467,5.8436830835117775,0.177,"PPO, pretrained, double channel, raw",1000
0.29434885099999997,0.45072639341156046,0.482,0.299,4.424749163879599,0.187,"PPO, pretrained, double channel, raw",1000
0.3297863649999999,0.4646668867353556,0.53,0.335,4.426865671641791,0.201,"PPO, pretrained, double channel, raw",1000
0.301533228,0.45306094157025495,0.417,0.307,5.06514657980456,0.104,"PPO, pretrained, double channel, raw",1000
0.3381676,0.46700463029530237,0.434,0.344,4.8226744186046515,0.087,"PPO, pretrained, double channel, raw",1000
0.41866801099999995,0.4850384182017471,0.702,0.427,5.5503512880562065,0.47,"PPO, pretrained, double channel, raw",1000
0.409848865,0.4827031809570482,0.82,0.419,6.212410501193317,0.623,"PPO, pretrained, double channel, raw",1000
0.26598518,0.4373724621816989,0.395,0.27,4.229629629629629,0.169,"PPO, pretrained, double channel, raw",1000
0.253459793,0.4309721655703929,0.375,0.257,3.9182879377431905,0.111,"PPO, pretrained, double channel, raw",1000
0.24048792700000002,0.4233227289475297,0.413,0.244,4.094262295081967,0.146,"PPO, pretrained, double channel, raw",1000
0.277090667,0.4432430624043969,0.328,0.281,3.9572953736654806,0.045,"PPO, pretrained, double channel, raw",1000
0.342626193,0.46798742729411413,0.595,0.349,5.19484240687679,0.18,"PPO, pretrained, double channel, raw",1000
0.30154026400000006,0.453103404401307,0.571,0.307,5.058631921824104,0.285,"PPO, pretrained, double channel, raw",1000
