mean_reward,std_reward,non_timeout_share,goal_share,steps_per_successful_epsiode,variable_tiles_per_episode,name,num_episodes
0.369599664,0.47534502414250124,0.474,0.377,5.583554376657825,0.016,"PPO, trained on next tile, double channel, annotated",1000
0.353060189,0.4709854924992715,0.458,0.36,5.483333333333333,0.027,"PPO, trained on next tile, double channel, annotated",1000
0.347777377,0.46983659430103447,0.452,0.354,5.0,0.041,"PPO, trained on next tile, double channel, annotated",1000
0.42239536099999997,0.48455008104627817,0.585,0.432,6.324074074074074,0.065,"PPO, trained on next tile, double channel, annotated",1000
0.34590902400000006,0.46875049124091106,0.449,0.353,5.713881019830028,0.058,"PPO, trained on next tile, double channel, annotated",1000
0.308408247,0.45553408655041616,0.373,0.315,5.9523809523809526,0.017,"PPO, trained on next tile, double channel, annotated",1000
0.326694563,0.46190497207209413,0.411,0.334,6.221556886227545,0.01,"PPO, trained on next tile, double channel, annotated",1000
0.354146142,0.4711665973864041,0.439,0.362,6.171270718232044,0.018,"PPO, trained on next tile, double channel, annotated",1000
0.320807457,0.46130192695180033,0.424,0.326,4.530674846625767,0.071,"PPO, trained on next tile, double channel, annotated",1000
0.294297688,0.4495926766728554,0.398,0.3,5.406666666666666,0.033,"PPO, trained on next tile, double channel, annotated",1000
0.23943519,0.42262391793598464,0.288,0.243,4.172839506172839,0.03,"PPO, trained on next tile, double channel, annotated",1000
0.30065629,0.453025835366205,0.376,0.306,4.967320261437909,0.016,"PPO, trained on next tile, double channel, annotated",1000
0.319469967,0.4604549880451594,0.499,0.325,4.84,0.049,"PPO, trained on next tile, double channel, annotated",1000
0.348993395,0.46964996387609675,0.455,0.356,5.598314606741573,0.022,"PPO, trained on next tile, double channel, annotated",1000
0.35309026300000007,0.47184966178542065,0.455,0.359,4.6824512534818945,0.022,"PPO, trained on next tile, double channel, annotated",1000
0.293371519,0.449457793850103,0.412,0.299,5.354515050167224,0.06,"PPO, trained on next tile, double channel, annotated",1000
0.37065082600000004,0.4765039784757623,0.466,0.377,4.790450928381963,0.015,"PPO, trained on next tile, double channel, annotated",1000
0.35311292200000005,0.47123382383149653,0.43,0.36,5.441666666666666,0.021,"PPO, trained on next tile, double channel, annotated",1000
0.32425199099999996,0.4620620221201272,0.445,0.33,4.954545454545454,0.041,"PPO, trained on next tile, double channel, annotated",1000
0.35648011199999996,0.4718964475524408,0.46,0.364,5.876373626373627,0.049,"PPO, trained on next tile, double channel, annotated",1000
0.38081058,0.4783204329602653,0.484,0.388,5.270618556701031,0.043,"PPO, trained on next tile, double channel, annotated",1000
0.32267035099999997,0.46188859277552397,0.4,0.328,4.621951219512195,0.02,"PPO, trained on next tile, double channel, annotated",1000
0.37008128900000004,0.4757847987102924,0.525,0.377,5.220159151193634,0.04,"PPO, trained on next tile, double channel, annotated",1000
0.40120590300000003,0.48232167580329793,0.54,0.409,5.420537897310513,0.078,"PPO, trained on next tile, double channel, annotated",1000
0.322710188,0.46002372302427696,0.431,0.331,7.123867069486405,0.041,"PPO, trained on next tile, double channel, annotated",1000
0.3238512029999999,0.46171747287387527,0.438,0.33,5.3,0.033,"PPO, trained on next tile, double channel, annotated",1000
0.442859408,0.48781704624296146,0.614,0.452,5.752212389380531,0.068,"PPO, trained on next tile, double channel, annotated",1000
0.36467698000000004,0.4740505166296664,0.508,0.372,5.599462365591398,0.124,"PPO, trained on next tile, double channel, annotated",1000
0.330896908,0.4644378234391699,0.415,0.337,5.1513353115727005,0.02,"PPO, trained on next tile, double channel, annotated",1000
0.287712524,0.44714945877392875,0.372,0.293,5.1331058020477816,0.033,"PPO, trained on next tile, double channel, annotated",1000
0.365819179,0.47395114888237266,0.462,0.374,6.221925133689839,0.019,"PPO, trained on next tile, double channel, annotated",1000
0.29250707,0.450043506683904,0.354,0.297,4.303030303030303,0.02,"PPO, trained on next tile, double channel, annotated",1000
0.40049575,0.4819988271176264,0.547,0.409,5.91442542787286,0.075,"PPO, trained on next tile, double channel, annotated",1000
0.30847698300000004,0.4560132403142596,0.394,0.314,5.003184713375796,0.015,"PPO, trained on next tile, double channel, annotated",1000
0.308160565,0.45595768404823467,0.461,0.314,5.289808917197452,0.108,"PPO, trained on next tile, double channel, annotated",1000
0.392235592,0.4800054119568378,0.536,0.401,6.216957605985037,0.077,"PPO, trained on next tile, double channel, annotated",1000
0.43542543100000003,0.487369380092085,0.573,0.444,5.493243243243243,0.027,"PPO, trained on next tile, double channel, annotated",1000
0.39389456899999997,0.4800857940794429,0.527,0.403,6.426799007444169,0.069,"PPO, trained on next tile, double channel, annotated",1000
0.348598075,0.4700231610842081,0.489,0.355,5.129577464788732,0.052,"PPO, trained on next tile, double channel, annotated",1000
0.38969612800000003,0.4796938396301016,0.5,0.398,5.934673366834171,0.042,"PPO, trained on next tile, double channel, annotated",1000
0.273060575,0.4400881872421463,0.395,0.278,5.053956834532374,0.067,"PPO, trained on next tile, double channel, annotated",1000
0.317383633,0.45904680294666284,0.474,0.324,5.808641975308642,0.023,"PPO, trained on next tile, double channel, annotated",1000
0.30896214799999994,0.4567835406659528,0.383,0.314,4.563694267515924,0.029,"PPO, trained on next tile, double channel, annotated",1000
0.361629313,0.47215303892296084,0.462,0.37,6.435135135135135,0.037,"PPO, trained on next tile, double channel, annotated",1000
0.307150032,0.45526881264655167,0.415,0.313,5.31629392971246,0.052,"PPO, trained on next tile, double channel, annotated",1000
0.36110394,0.4725074304977589,0.451,0.369,6.086720867208672,0.022,"PPO, trained on next tile, double channel, annotated",1000
0.373678548,0.4759276221504986,0.513,0.382,6.196335078534031,0.05,"PPO, trained on next tile, double channel, annotated",1000
0.281514111,0.4450451270939821,0.346,0.286,4.461538461538462,0.04,"PPO, trained on next tile, double channel, annotated",1000
0.338151608,0.4664047917675249,0.467,0.345,5.646376811594203,0.051,"PPO, trained on next tile, double channel, annotated",1000
0.39483479499999996,0.4802344543940772,0.57,0.404,6.452970297029703,0.082,"PPO, trained on next tile, double channel, annotated",1000
